,DATE,TMIN,TAVG,TMAX
819,2018-03-30,53.57142857142857,64.53571428571429,77.03571428571429
820,2018-03-31,52.42857142857143,61.892857142857146,72.42857142857143
821,2018-04-01,52.5,59.67857142857143,68.92857142857143
822,2018-04-02,52.82142857142857,59.357142857142854,67.82142857142857
823,2018-04-03,51.464285714285715,60.44642857142857,70.46428571428571
824,2018-04-04,51.92857142857143,59.57142857142857,68.78571428571429
825,2018-04-05,53.535714285714285,60.589285714285715,69.39285714285714
826,2018-04-06,52.75,61.107142857142854,70.14285714285714
827,2018-04-07,55.142857142857146,62.857142857142854,71.14285714285714
828,2018-04-08,53.357142857142854,63.910714285714285,75.28571428571429
829,2018-04-09,56.785714285714285,72.69642857142857,89.60714285714286
830,2018-04-10,58.035714285714285,72.48214285714286,85.89285714285714
831,2018-04-11,54.107142857142854,65.96428571428571,77.39285714285714
832,2018-04-12,50.392857142857146,58.42857142857143,66.92857142857143
833,2018-04-13,50.42857142857143,63.892857142857146,76.82142857142857
834,2018-04-14,55.142857142857146,68.32142857142857,82.71428571428571
835,2018-04-15,52.107142857142854,64.07142857142857,76.07142857142857
836,2018-04-16,46.785714285714285,56.017857142857146,64.53571428571429
837,2018-04-17,44.714285714285715,56.30357142857143,67.85714285714286
838,2018-04-18,46.642857142857146,58.625,69.57142857142857
839,2018-04-19,45.392857142857146,54.107142857142854,63.25
840,2018-04-20,47.67857142857143,60.017857142857146,73.28571428571429
841,2018-04-21,52.785714285714285,67.17857142857143,82.25
842,2018-04-22,56.107142857142854,67.96428571428571,80.5
843,2018-04-23,53.5,65.46428571428571,77.64285714285714
844,2018-04-24,53.17857142857143,63.267857142857146,74.53571428571429
845,2018-04-25,52.642857142857146,62.57142857142857,73.75
846,2018-04-26,52.392857142857146,61.625,72.10714285714286
847,2018-04-27,52.285714285714285,60.5,70.0
848,2018-04-28,50.74074074074074,60.03703703703704,70.11111111111111
849,2018-04-29,50.46153846153846,58.53846153846154,67.15384615384616
850,2018-04-30,50.92857142857143,57.232142857142854,64.14285714285714
851,2018-05-01,49.67857142857143,53.625,57.892857142857146
852,2018-05-02,49.464285714285715,55.035714285714285,62.32142857142857
853,2018-05-03,49.07142857142857,60.964285714285715,72.21428571428571
854,2018-05-04,55.464285714285715,69.92857142857143,84.78571428571429
855,2018-05-05,60.142857142857146,72.82142857142857,86.57142857142857
856,2018-05-06,58.666666666666664,69.70370370370371,81.62962962962963
857,2018-05-07,54.92857142857143,66.19642857142857,78.03571428571429
858,2018-05-08,56.857142857142854,67.25,78.28571428571429
859,2018-05-09,57.607142857142854,67.76785714285714,79.42857142857143
860,2018-05-10,57.42857142857143,65.80357142857143,75.46428571428571
861,2018-05-11,54.964285714285715,59.357142857142854,64.46428571428571
862,2018-05-12,53.07142857142857,57.69642857142857,63.464285714285715
863,2018-05-13,52.96296296296296,59.407407407407405,67.81481481481481
864,2018-05-14,51.642857142857146,60.05357142857143,69.10714285714286
865,2018-05-15,52.142857142857146,60.732142857142854,70.07142857142857
866,2018-05-16,51.214285714285715,61.57142857142857,72.60714285714286
867,2018-05-17,52.0,61.11538461538461,70.3076923076923
868,2018-05-18,54.111111111111114,60.96296296296296,68.51851851851852
869,2018-05-19,54.888888888888886,61.25925925925926,68.70370370370371
870,2018-05-20,56.392857142857146,61.767857142857146,68.46428571428571
871,2018-05-21,55.107142857142854,58.892857142857146,63.25
872,2018-05-22,54.82142857142857,60.517857142857146,67.25
873,2018-05-23,55.32142857142857,61.375,69.17857142857143
874,2018-05-24,54.857142857142854,59.892857142857146,66.21428571428571
875,2018-05-25,53.214285714285715,59.589285714285715,67.32142857142857
876,2018-05-26,52.107142857142854,59.875,68.17857142857143
877,2018-05-27,53.32142857142857,63.017857142857146,73.35714285714286
878,2018-05-28,55.888888888888886,66.53703703703704,78.29629629629629
879,2018-05-29,57.964285714285715,66.58928571428571,77.17857142857143
880,2018-05-30,56.75,62.42857142857143,69.75
881,2018-05-31,56.285714285714285,62.660714285714285,69.82142857142857
882,2018-06-01,53.5,64.75,75.75
883,2018-06-02,58.25,69.33928571428571,80.78571428571429
884,2018-06-03,59.857142857142854,71.21428571428571,83.5
885,2018-06-04,59.107142857142854,69.375,80.10714285714286
886,2018-06-05,58.892857142857146,66.375,74.78571428571429
887,2018-06-06,57.357142857142854,65.46428571428571,75.03571428571429
888,2018-06-07,55.67857142857143,65.80357142857143,76.53571428571429
889,2018-06-08,57.74074074074074,70.29629629629629,83.25925925925925
890,2018-06-09,59.18518518518518,69.92592592592592,81.07407407407408
891,2018-06-10,58.74074074074074,69.44444444444444,80.70370370370371
892,2018-06-11,60.82142857142857,72.125,83.89285714285714
893,2018-06-12,61.82142857142857,72.64285714285714,84.14285714285714
894,2018-06-13,60.892857142857146,72.16071428571429,83.82142857142857
895,2018-06-14,60.214285714285715,72.75,87.35714285714286
896,2018-06-15,59.857142857142854,70.32142857142857,81.92857142857143
897,2018-06-16,57.75,63.785714285714285,70.78571428571429
898,2018-06-17,56.5,61.125,67.03571428571429
899,2018-06-18,55.714285714285715,64.26785714285714,73.14285714285714
900,2018-06-19,56.92857142857143,67.60714285714286,78.5
901,2018-06-20,60.67857142857143,71.14285714285714,82.75
902,2018-06-21,63.464285714285715,72.16071428571429,82.5
903,2018-06-22,63.035714285714285,72.33928571428571,83.21428571428571
904,2018-06-23,61.25,68.51785714285714,76.35714285714286
905,2018-06-24,60.51851851851852,68.11111111111111,77.33333333333333
906,2018-06-25,60.77777777777778,70.35185185185185,81.25925925925925
907,2018-06-26,60.592592592592595,70.77777777777777,81.85185185185185
908,2018-06-27,61.26923076923077,71.0576923076923,82.11538461538461
909,2018-06-28,60.111111111111114,69.25925925925925,79.51851851851852
910,2018-06-29,60.7037037037037,68.0925925925926,76.92592592592592
911,2018-06-30,61.23076923076923,69.42307692307692,79.03846153846153
912,2018-07-01,61.888888888888886,70.64814814814815,80.48148148148148
913,2018-07-02,62.0,70.55555555555556,80.14814814814815
914,2018-07-03,61.25925925925926,69.31481481481481,78.66666666666667
915,2018-07-04,60.629629629629626,70.72222222222223,81.62962962962963
916,2018-07-05,61.370370370370374,77.20370370370371,92.07407407407408
917,2018-07-06,72.55555555555556,89.4074074074074,106.74074074074075
918,2018-07-07,77.18518518518519,89.55555555555556,102.33333333333333
919,2018-07-08,75.29629629629629,85.20370370370371,95.66666666666667
920,2018-07-09,72.35714285714286,82.78571428571429,94.5
921,2018-07-10,70.67857142857143,79.46428571428571,89.32142857142857
922,2018-07-11,68.57142857142857,77.82142857142857,88.78571428571429
923,2018-07-12,69.14285714285714,77.73214285714286,87.96428571428571
924,2018-07-13,68.14285714285714,77.19642857142857,87.17857142857143
925,2018-07-14,67.53571428571429,77.23214285714286,88.03571428571429
926,2018-07-15,67.75,77.125,87.53571428571429
927,2018-07-16,67.21428571428571,76.32142857142857,86.71428571428571
928,2018-07-17,67.25,75.75,85.5
929,2018-07-18,67.21428571428571,75.96428571428571,86.28571428571429
930,2018-07-19,67.70370370370371,76.5925925925926,86.77777777777777
931,2018-07-20,67.32142857142857,75.10714285714286,83.71428571428571
932,2018-07-21,66.14285714285714,75.05357142857143,85.03571428571429
933,2018-07-22,66.5,77.875,89.71428571428571
934,2018-07-23,70.17857142857143,81.96428571428571,94.35714285714286
935,2018-07-24,71.92857142857143,83.14285714285714,95.5
936,2018-07-25,71.17857142857143,81.71428571428571,93.14285714285714
937,2018-07-26,69.66666666666667,79.05555555555556,89.22222222222223
938,2018-07-27,68.42857142857143,78.85714285714286,90.28571428571429
939,2018-07-28,68.29629629629629,77.33333333333333,87.62962962962963
940,2018-07-29,67.92857142857143,79.51785714285714,92.57142857142857
941,2018-07-30,70.39285714285714,79.58928571428571,90.28571428571429
942,2018-07-31,69.57142857142857,80.10714285714286,91.82142857142857
943,2018-08-01,70.53571428571429,80.42857142857143,91.5
944,2018-08-02,70.21428571428571,79.07142857142857,89.07142857142857
945,2018-08-03,68.85185185185185,78.94444444444444,89.70370370370371
946,2018-08-04,67.46428571428571,78.0,89.71428571428571
947,2018-08-05,67.29629629629629,77.87037037037037,89.07407407407408
948,2018-08-06,68.03703703703704,81.14814814814815,94.88888888888889
949,2018-08-07,70.25925925925925,83.01851851851852,96.33333333333333
950,2018-08-08,68.96428571428571,81.69642857142857,94.89285714285714
951,2018-08-09,69.75,82.10714285714286,96.0
952,2018-08-10,70.42857142857143,80.125,91.07142857142857
953,2018-08-11,69.10714285714286,78.32142857142857,88.57142857142857
954,2018-08-12,67.75,76.73214285714286,86.57142857142857
955,2018-08-13,65.57142857142857,75.07142857142857,85.71428571428571
956,2018-08-14,65.21428571428571,74.35714285714286,84.57142857142857
957,2018-08-15,66.55555555555556,75.51851851851852,85.85185185185185
958,2018-08-16,68.10714285714286,76.67857142857143,86.71428571428571
959,2018-08-17,69.57142857142857,77.75,87.35714285714286
960,2018-08-18,68.82142857142857,77.07142857142857,86.89285714285714
961,2018-08-19,68.14285714285714,77.25,87.60714285714286
962,2018-08-20,67.60714285714286,75.96428571428571,85.64285714285714
963,2018-08-21,67.82142857142857,75.44642857142857,84.5
964,2018-08-22,67.0,75.51851851851852,85.37037037037037
965,2018-08-23,65.64285714285714,74.55357142857143,85.14285714285714
966,2018-08-24,63.714285714285715,72.60714285714286,82.82142857142857
967,2018-08-25,63.642857142857146,72.33928571428571,82.28571428571429
968,2018-08-26,63.892857142857146,72.35714285714286,82.32142857142857
969,2018-08-27,62.75,71.08928571428571,81.03571428571429
970,2018-08-28,61.67857142857143,70.96428571428571,81.42857142857143
971,2018-08-29,63.92857142857143,74.14285714285714,85.82142857142857
972,2018-08-30,62.607142857142854,74.125,86.96428571428571
973,2018-08-31,62.964285714285715,73.5,85.07142857142857
974,2018-09-01,63.142857142857146,72.17857142857143,82.60714285714286
975,2018-09-02,65.14285714285714,71.98214285714286,80.60714285714286
976,2018-09-03,65.64285714285714,72.57142857142857,81.85714285714286
977,2018-09-04,65.89285714285714,72.21428571428571,80.21428571428571
978,2018-09-05,65.03571428571429,71.69642857142857,80.39285714285714
979,2018-09-06,63.67857142857143,71.89285714285714,81.39285714285714
980,2018-09-07,64.22222222222223,74.9074074074074,86.88888888888889
981,2018-09-08,66.07142857142857,77.55357142857143,89.89285714285714
